"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[0,1]","[0,1]","[3,2]","[false,false,false,false]","0","0","false","[0.7274094002898206,0.26645336294151906,0.5994610876607065,0.5066740778277818]","true","true","dawsTwoStep","0","4744","0.0-0.0"
"[0,1]","[0,1]","[3,2]","[true,true,false,true]","0","1","true","[0.6793476706490504,0.27989138337576236,0.6099007887088513,0.49184692783364703]","true","true","dawsTwoStep","1","7710","0.0-1.0"
"[1,0]","[0,1]","[0,1]","[true,false,false,true]","0","0","true","[0.6835488021845835,0.30020821867751446,0.6718129453102047,0.4675885290802989]","true","false","dawsTwoStep","2","15537","0.0-2.0"
"[0,1]","[1,0]","[2,3]","[true,false,true,true]","1","3","true","[0.6837508454854566,0.3027867956794711,0.655451033598325,0.46815947084297144]","true","true","dawsTwoStep","3","17880","0.0-3.0"
"[0,1]","[0,1]","[3,2]","[true,false,true,false]","0","0","true","[0.75,0.31836295198105474,0.6394973118455461,0.46739257693336533]","true","true","dawsTwoStep","4","20235","0.0-4.0"
"[0,1]","[2,3]","[1,0]","[true,false,false,true]","0","3","true","[0.735052175746743,0.30541995338929995,0.6425943196791072,0.4622687238239582]","false","false","dawsTwoStep","5","22600","0.0-5.0"
"[1,0]","[1,0]","[2,3]","[true,true,false,false]","0","1","true","[0.7208055761507729,0.32424569136131665,0.6536687147192618,0.5012119477678212]","true","true","dawsTwoStep","6","26252","0.0-6.0"
"[1,0]","[1,0]","[2,3]","[true,true,false,false]","0","0","true","[0.6991240501770319,0.31087255863656066,0.6341680685648812,0.541631282065707]","true","true","dawsTwoStep","7","28783","0.0-7.0"
"[0,1]","[0,1]","[2,3]","[false,false,false,true]","0","0","false","[0.6903504459735095,0.30093315950994287,0.6547909644017398,0.5271186134753765]","true","true","dawsTwoStep","8","30988","0.0-8.0"
"[0,1]","[3,2]","[3,2]","[true,true,true,true]","0","2","true","[0.6805972011380731,0.3223523957289798,0.6896592696776594,0.49692086605989205]","false","true","dawsTwoStep","9","33760","0.0-9.0"
"[1,0]","[1,0]","[3,2]","[true,false,false,true]","0","1","false","[0.6902333438353717,0.2828197674797862,0.6741576705783145,0.5028665735558914]","true","true","dawsTwoStep","10","35917","0.0-10.0"
"[1,0]","[3,2]","[2,3]","[true,true,true,true]","0","2","true","[0.674434284658202,0.2730149928782476,0.6462761418751142,0.4877510370020971]","false","true","dawsTwoStep","11","38177","0.0-11.0"
"[1,0]","[2,3]","[2,3]","[false,false,true,true]","1","2","true","[0.7020003155910309,0.25,0.6420876704387616,0.4925974894022482]","false","true","dawsTwoStep","12","40286","0.0-12.0"
"[0,1]","[2,3]","[3,2]","[false,true,true,false]","0","3","false","[0.6670049275232884,0.25,0.627482215273864,0.4861424200764883]","false","true","dawsTwoStep","13","42745","0.0-13.0"
"[1,0]","[3,2]","[2,3]","[true,false,true,true]","0","3","true","[0.644732313222006,0.25,0.6186443475403486,0.48256917351533835]","false","true","dawsTwoStep","14","44771","0.0-14.0"
"[1,0]","[2,3]","[2,3]","[true,true,false,false]","0","3","false","[0.6276950792615152,0.25,0.6791537396260361,0.4864078254813143]","false","true","dawsTwoStep","15","47203","0.0-15.0"
"[1,0]","[2,3]","[0,1]","[true,false,true,false]","1","0","true","[0.6292304366705482,0.2676544626298094,0.7057149091028907,0.48875555858418435]","false","false","dawsTwoStep","16","49607","0.0-16.0"
"[1,0]","[0,1]","[1,0]","[true,false,false,false]","1","0","true","[0.6500753713119164,0.27350649631377727,0.7193078040603923,0.49695692989161533]","true","false","dawsTwoStep","17","51979","0.0-17.0"
