"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[0,1]","[3,2]","[3,2]","[false,true,false,true]","0","2","false","[0.7240105237211883,0.75,0.4354167450755569,0.46817139944278374]","false","true","dawsTwoStep","0","12431","0.0-0.0"
"[1,0]","[0,1]","[0,1]","[true,true,true,false]","0","0","true","[0.7042684419428314,0.75,0.4277487494872227,0.4310425545053952]","true","false","dawsTwoStep","1","18798","0.0-1.0"
"[1,0]","[0,1]","[2,3]","[false,false,false,false]","0","0","false","[0.7007083252064237,0.75,0.3889287294715928,0.42240786337871755]","true","true","dawsTwoStep","2","23493","0.0-2.0"
"[1,0]","[2,3]","[3,2]","[false,true,false,true]","0","3","true","[0.7270550779127808,0.734598503288067,0.38641527609827614,0.4427862902545387]","false","true","dawsTwoStep","3","26162","0.0-3.0"
"[0,1]","[1,0]","[1,0]","[true,true,true,false]","0","0","true","[0.7438181852907386,0.713055300057692,0.3292176622124589,0.4439387109377222]","true","false","dawsTwoStep","4","30937","0.0-4.0"
"[1,0]","[0,1]","[1,0]","[true,true,false,true]","0","0","true","[0.7335211813315538,0.7350547610097133,0.3611618006803214,0.4747414733618231]","true","false","dawsTwoStep","5","34291","0.0-5.0"
"[0,1]","[3,2]","[3,2]","[false,false,true,true]","0","3","true","[0.7141025404125095,0.75,0.3727422755547992,0.4831831074521406]","false","true","dawsTwoStep","6","38855","0.0-6.0"
"[1,0]","[1,0]","[3,2]","[false,false,false,true]","0","0","false","[0.7283108062616609,0.75,0.3710505453999052,0.4721577648526841]","true","true","dawsTwoStep","7","42211","0.0-7.0"
"[1,0]","[2,3]","[2,3]","[true,true,false,false]","0","2","false","[0.6980168202758751,0.7242205416065803,0.3601252489475317,0.46284874824164135]","false","true","dawsTwoStep","8","46052","0.0-8.0"
"[0,1]","[0,1]","[2,3]","[true,true,false,true]","0","0","true","[0.7048533753325873,0.7195670602101519,0.32600167536027685,0.44786011602471015]","true","true","dawsTwoStep","9","49813","0.0-9.0"
"[0,1]","[2,3]","[0,1]","[false,false,false,false]","0","3","false","[0.6412068135294471,0.7453458513797775,0.36599257925794404,0.45462662871915216]","false","false","dawsTwoStep","10","52750","0.0-10.0"
"[0,1]","[1,0]","[2,3]","[false,true,false,false]","0","1","true","[0.6845711557669031,0.75,0.3781581381245073,0.44557783148778696]","true","true","dawsTwoStep","11","55375","0.0-11.0"
"[1,0]","[0,1]","[3,2]","[true,true,false,false]","0","0","true","[0.6973561537564692,0.75,0.3674587388706769,0.4655368891377344]","true","true","dawsTwoStep","12","58502","0.0-12.0"
"[1,0]","[1,0]","[2,3]","[true,true,true,true]","0","0","true","[0.6975808872564876,0.75,0.3333621683622632,0.43431296565468747]","true","true","dawsTwoStep","13","61466","0.0-13.0"
"[0,1]","[0,1]","[1,0]","[false,true,true,false]","0","0","false","[0.7343434618892799,0.7456080421098921,0.34342471145642556,0.43753448726147226]","true","false","dawsTwoStep","14","64896","0.0-14.0"
"[0,1]","[0,1]","[2,3]","[true,false,false,false]","0","0","true","[0.7219857217896376,0.7149697379183715,0.36661809565484493,0.4518242756583122]","true","true","dawsTwoStep","15","67182","0.0-15.0"
"[0,1]","[3,2]","[3,2]","[true,true,false,false]","0","2","false","[0.6854683944115177,0.6853305620084212,0.35325333139344767,0.43334846031783514]","false","true","dawsTwoStep","16","70733","0.0-16.0"
"[1,0]","[3,2]","[1,0]","[false,false,false,true]","0","3","true","[0.6626388885969011,0.6581526195216634,0.33513236012388953,0.4401879699482891]","false","false","dawsTwoStep","17","73524","0.0-17.0"
"[1,0]","[0,1]","[2,3]","[true,true,false,true]","0","0","true","[0.6312639422345585,0.691668154373402,0.31549430260385725,0.43808929470301844]","true","true","dawsTwoStep","18","76164","0.0-18.0"
