"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[1,0]","[1,0]","[3,2]","[true,false,true,true]","1","3","true","[0.4227041710884027,0.29798973797405487,0.7166827258396652,0.7111142011171665]","true","true","dawsTwoStep","0","9577","0.0-0.0"
"[1,0]","[0,1]","[1,0]","[false,false,true,true]","1","1","false","[0.40942054332893274,0.3188505945160942,0.75,0.6872194700211521]","true","false","dawsTwoStep","1","13444","0.0-1.0"
"[1,0]","[1,0]","[0,1]","[true,false,false,false]","1","1","false","[0.41553987289573163,0.3031857679493133,0.7299874606993478,0.7046086278642718]","true","false","dawsTwoStep","2","16872","0.0-2.0"
"[1,0]","[2,3]","[3,2]","[true,false,true,true]","1","3","true","[0.39769005231754334,0.29857209274021324,0.725366399950786,0.6911332677868557]","false","true","dawsTwoStep","3","19459","0.0-3.0"
"[0,1]","[0,1]","[2,3]","[true,true,true,false]","0","0","true","[0.4127008282233539,0.36568915324368173,0.7140133560542613,0.7100260798299365]","true","true","dawsTwoStep","4","23783","0.0-4.0"
"[1,0]","[1,0]","[1,0]","[true,false,true,true]","1","0","true","[0.4274743630521557,0.3877949249922287,0.6902531415219796,0.7083088074610197]","true","false","dawsTwoStep","5","27941","0.0-5.0"
"[0,1]","[1,0]","[1,0]","[true,false,true,false]","1","0","true","[0.42248108138482077,0.3591175281811516,0.7023239541369499,0.7020114685565727]","true","false","dawsTwoStep","6","31527","0.0-6.0"
"[0,1]","[1,0]","[3,2]","[false,true,true,true]","1","3","true","[0.3938779416702532,0.3293862161106413,0.7225817729065368,0.71259405142075]","true","true","dawsTwoStep","7","34696","0.0-7.0"
"[0,1]","[0,1]","[3,2]","[true,false,true,true]","1","3","true","[0.38372245221743745,0.34835481271724633,0.7406118121681537,0.6976027036856172]","true","true","dawsTwoStep","8","37546","0.0-8.0"
"[0,1]","[0,1]","[0,1]","[true,false,true,true]","1","0","true","[0.4410728779716126,0.32765892118243944,0.718440011594149,0.7036940221027257]","true","false","dawsTwoStep","9","42174","0.0-9.0"
"[1,0]","[0,1]","[3,2]","[true,false,true,true]","1","3","true","[0.4190899658376293,0.3380818311318743,0.7217969201678774,0.662876510006682]","true","true","dawsTwoStep","10","45592","0.0-10.0"
"[0,1]","[1,0]","[1,0]","[false,true,true,true]","1","1","true","[0.3906980104114816,0.37012890636259627,0.7326802358778266,0.6591619991362574]","true","false","dawsTwoStep","11","50794","0.0-11.0"
"[1,0]","[0,1]","[3,2]","[false,false,true,true]","0","1","false","[0.4030347723898252,0.333190935643541,0.6943195003322656,0.645621497832259]","true","true","dawsTwoStep","12","54112","0.0-12.0"
"[1,0]","[0,1]","[2,3]","[true,true,true,true]","1","3","true","[0.3901846453643516,0.30748216502550685,0.6795093661182393,0.6097112609966172]","true","true","dawsTwoStep","13","57527","0.0-13.0"
"[0,1]","[2,3]","[3,2]","[false,true,true,true]","1","3","true","[0.3852241549287293,0.30163422190314076,0.6711465179241884,0.613509730394295]","false","true","dawsTwoStep","14","60419","0.0-14.0"
"[0,1]","[1,0]","[3,2]","[false,false,false,true]","1","3","true","[0.3797697404663788,0.32950338275464824,0.6752759265138193,0.6250049703884226]","true","true","dawsTwoStep","15","63043","0.0-15.0"
"[1,0]","[0,1]","[2,3]","[true,true,true,false]","1","3","false","[0.41613968703884857,0.3183935262114267,0.7243981412175571,0.5977676875082949]","true","true","dawsTwoStep","16","66395","0.0-16.0"
"[1,0]","[1,0]","[1,0]","[true,false,true,true]","1","1","false","[0.3773627820585286,0.31681258953322117,0.7223034517646064,0.6076536522587059]","true","false","dawsTwoStep","17","69290","0.0-17.0"
"[1,0]","[1,0]","[2,3]","[true,false,true,false]","1","3","false","[0.3590549120133456,0.35007032743735833,0.7218202477294144,0.5661495389418632]","true","true","dawsTwoStep","18","71904","0.0-18.0"
"[0,1]","[0,1]","[2,3]","[false,false,true,false]","1","3","false","[0.4016160769591387,0.40403773184245223,0.75,0.5784531266562731]","true","true","dawsTwoStep","19","74959","0.0-19.0"
"[0,1]","[1,0]","[2,3]","[false,true,true,true]","1","2","true","[0.43215777751769263,0.3955579446164794,0.75,0.5389438846985269]","true","true","dawsTwoStep","20","77487","0.0-20.0"
"[0,1]","[0,1]","[1,0]","[false,false,true,true]","1","0","false","[0.419927526747889,0.39165663652801613,0.75,0.5193303479183965]","true","false","dawsTwoStep","21","80963","0.0-21.0"
"[1,0]","[1,0]","[2,3]","[false,true,true,true]","0","0","false","[0.413677258749582,0.4117361056505785,0.7237556182481656,0.5332566999724084]","true","true","dawsTwoStep","22","84007","0.0-22.0"
"[1,0]","[0,1]","[1,0]","[true,false,true,false]","0","0","true","[0.3908238478441946,0.37920045103043915,0.7049848550700546,0.5752067074780622]","true","false","dawsTwoStep","23","86660","0.0-23.0"
"[0,1]","[0,1]","[1,0]","[false,false,false,false]","0","0","false","[0.38763944600600153,0.3651765570588019,0.7013103617838921,0.629655141658489]","true","false","dawsTwoStep","24","90176","0.0-24.0"
"[1,0]","[3,2]","[2,3]","[true,false,false,false]","1","2","false","[0.4256297448920632,0.3659294554045973,0.6858658061751427,0.6347942505524031]","false","true","dawsTwoStep","25","93407","0.0-25.0"
"[1,0]","[1,0]","[2,3]","[true,false,false,true]","1","3","true","[0.42712352823087374,0.3731445638661788,0.6837998819037684,0.6174371394705204]","true","true","dawsTwoStep","26","95892","0.0-26.0"
"[1,0]","[3,2]","[3,2]","[true,true,false,false]","1","3","false","[0.46544133465778426,0.35552610782734917,0.6873944716337351,0.5928992859941504]","false","true","dawsTwoStep","27","99023","0.0-27.0"
"[0,1]","[1,0]","[0,1]","[false,true,true,false]","1","0","false","[0.47794324164803925,0.3675065821399534,0.6760399346915158,0.5577389101964486]","true","false","dawsTwoStep","28","101985","0.0-28.0"
"[1,0]","[1,0]","[0,1]","[true,false,true,true]","0","1","false","[0.47783377048628345,0.36241749163843834,0.6879925447893479,0.5063748531851651]","true","false","dawsTwoStep","29","105410","0.0-29.0"
"[0,1]","[1,0]","[3,2]","[true,false,true,false]","1","3","false","[0.463493782134978,0.3289333000778166,0.6828187280816956,0.4842711204784922]","true","true","dawsTwoStep","30","108258","0.0-30.0"
"[0,1]","[0,1]","[2,3]","[true,false,false,false]","1","3","false","[0.44036416331684325,0.35714241208764147,0.7172665950427428,0.500285930137736]","true","true","dawsTwoStep","31","110440","0.0-31.0"
