"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[1,0]","[1,0]","[3,2]","[false,false,false,true]","1","2","false","[0.2730786611241776,0.44869603196972424,0.33958926940046547,0.6891042851493717]","true","true","dawsTwoStep","0","51536","0.0-0.0"
"[0,1]","[2,3]","[0,1]","[false,true,true,true]","0","2","true","[0.25,0.45557614645840777,0.37786461540123145,0.6777840365567132]","false","false","dawsTwoStep","1","54735","0.0-1.0"
"[0,1]","[1,0]","[0,1]","[false,true,false,false]","0","1","true","[0.2944660075784,0.4752351133362365,0.3698684870842033,0.670866878197282]","true","false","dawsTwoStep","2","58060","0.0-2.0"
"[0,1]","[0,1]","[1,0]","[false,true,false,true]","0","1","true","[0.311012814578266,0.49339759590304294,0.3878552862080778,0.6970540697082974]","true","false","dawsTwoStep","3","61427","0.0-3.0"
"[0,1]","[0,1]","[1,0]","[false,false,true,false]","0","1","false","[0.2931932643506277,0.5018104995227292,0.428617949890842,0.6327874758331284]","true","false","dawsTwoStep","4","64858","0.0-4.0"
"[1,0]","[3,2]","[2,3]","[false,false,false,true]","1","2","false","[0.29291113360697846,0.507053071342483,0.4164295981545258,0.6843762746795331]","false","true","dawsTwoStep","5","67954","0.0-5.0"
"[0,1]","[1,0]","[3,2]","[true,false,false,true]","0","1","false","[0.29318317400715055,0.5158082663472373,0.3881120205232102,0.6883437307521385]","true","true","dawsTwoStep","6","71311","0.0-6.0"
"[0,1]","[2,3]","[0,1]","[true,true,true,true]","0","3","true","[0.3555243522357405,0.494509351253385,0.4113665497875743,0.716819626380818]","false","false","dawsTwoStep","7","74650","0.0-7.0"
"[0,1]","[3,2]","[1,0]","[false,false,true,true]","0","2","true","[0.3720261937688722,0.5112028146441521,0.3835527609916133,0.75]","false","false","dawsTwoStep","8","78211","0.0-8.0"
"[0,1]","[0,1]","[3,2]","[false,true,true,true]","1","3","true","[0.3832820882410775,0.5083004189048893,0.39197946195409056,0.75]","true","true","dawsTwoStep","9","81442","0.0-9.0"
"[1,0]","[2,3]","[2,3]","[false,false,true,true]","0","2","true","[0.36589715562569314,0.512230257774617,0.3681990114057493,0.75]","false","true","dawsTwoStep","10","84514","0.0-10.0"
"[1,0]","[2,3]","[2,3]","[false,false,false,true]","0","2","false","[0.39777690593951925,0.5418102138967739,0.3588121393256105,0.7190735301085194]","false","true","dawsTwoStep","11","87579","0.0-11.0"
"[1,0]","[3,2]","[2,3]","[false,true,true,true]","0","2","true","[0.3915836324403904,0.5729417222373792,0.3505806161134833,0.7064953808254242]","false","true","dawsTwoStep","12","90570","0.0-12.0"
"[1,0]","[1,0]","[2,3]","[true,true,false,true]","0","1","true","[0.4008264598926904,0.5872943795394694,0.34158780564031715,0.663337190971745]","true","true","dawsTwoStep","13","93756","0.0-13.0"
"[1,0]","[0,1]","[0,1]","[false,true,false,true]","0","1","true","[0.4283937378721149,0.5759688150125698,0.3340354561388572,0.6934667792674479]","true","false","dawsTwoStep","14","96847","0.0-14.0"
"[1,0]","[1,0]","[2,3]","[false,true,false,true]","0","1","true","[0.4166074559657778,0.6083304181510142,0.3311562436008043,0.6881112099151734]","true","true","dawsTwoStep","15","100226","0.0-15.0"
"[1,0]","[2,3]","[1,0]","[false,true,false,true]","0","2","false","[0.40031969066820816,0.6248689237803059,0.32686298745514475,0.6795810691437465]","false","false","dawsTwoStep","16","103260","0.0-16.0"
"[1,0]","[0,1]","[2,3]","[false,true,false,true]","1","3","true","[0.40480584704750194,0.6509853629327109,0.30687072354537803,0.6562120322649749]","true","true","dawsTwoStep","17","106494","0.0-17.0"
"[1,0]","[0,1]","[3,2]","[false,true,false,true]","1","3","true","[0.4006044713914055,0.6626279972327934,0.2912338084819659,0.6594850847479735]","true","true","dawsTwoStep","18","109469","0.0-18.0"
"[1,0]","[0,1]","[3,2]","[true,true,false,true]","1","3","true","[0.3903856944893461,0.6288018729658317,0.26818139145555786,0.6329602284377829]","true","true","dawsTwoStep","19","112576","0.0-19.0"
"[0,1]","[1,0]","[3,2]","[false,true,false,true]","0","1","true","[0.3357729129095603,0.6536705729176673,0.2746111667154066,0.6450440087098422]","true","true","dawsTwoStep","20","115410","0.0-20.0"
"[1,0]","[0,1]","[0,1]","[true,true,false,false]","1","0","true","[0.3971607571074184,0.6266543487577474,0.2683232224748118,0.653727673633663]","true","false","dawsTwoStep","21","118392","0.0-21.0"
"[1,0]","[0,1]","[3,2]","[false,true,false,true]","1","3","true","[0.37854757608306405,0.6376322881764299,0.276174398494579,0.6660295117619398]","true","true","dawsTwoStep","22","121445","0.0-22.0"
"[0,1]","[1,0]","[2,3]","[false,false,false,false]","0","1","false","[0.3859859913605017,0.6749089024934043,0.26735022930528474,0.690543852189156]","true","true","dawsTwoStep","23","124280","0.0-23.0"
"[0,1]","[2,3]","[0,1]","[false,true,false,true]","0","2","false","[0.3296215548961891,0.6341389821775847,0.25,0.6755698593630663]","false","false","dawsTwoStep","24","127445","0.0-24.0"
