"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[0,1]","[0,1]","[2,3]","[true,false,true,false]","0","1","false","[0.6201583069728022,0.7137386262882779,0.7276017885749039,0.5826895389936317]","true","true","dawsTwoStep","0","6369","0.0-0.0"
"[0,1]","[2,3]","[2,3]","[false,false,false,true]","0","2","false","[0.6440340246964376,0.7087366815935728,0.7030485539719751,0.5780717409858088]","false","true","dawsTwoStep","1","9477","0.0-1.0"
"[0,1]","[0,1]","[3,2]","[true,true,true,false]","1","3","false","[0.6825867735759592,0.7189846262669131,0.7274558540752186,0.5835731041704773]","true","true","dawsTwoStep","2","12651","0.0-2.0"
"[1,0]","[0,1]","[2,3]","[true,true,true,true]","1","3","true","[0.7104387969181716,0.6940670776170147,0.7436266420480588,0.6005160516787807]","true","true","dawsTwoStep","3","16435","0.0-3.0"
"[1,0]","[2,3]","[3,2]","[true,true,true,true]","1","3","true","[0.7023639997318024,0.6785150509750373,0.75,0.6099631739289824]","false","true","dawsTwoStep","4","19733","0.0-4.0"
"[0,1]","[1,0]","[3,2]","[false,true,false,true]","1","3","true","[0.6646892268745127,0.6938406356094735,0.742151232574186,0.5929746105776466]","true","true","dawsTwoStep","5","23034","0.0-5.0"
"[0,1]","[3,2]","[1,0]","[false,true,true,false]","1","0","false","[0.6798713541380336,0.6644334316151466,0.75,0.5782447200516343]","false","false","dawsTwoStep","6","27013","0.0-6.0"
"[0,1]","[1,0]","[2,3]","[true,false,false,false]","1","3","false","[0.6736426968319372,0.6984234804576195,0.7223274092199997,0.5475375774292566]","true","true","dawsTwoStep","7","30484","0.0-7.0"
"[0,1]","[0,1]","[3,2]","[false,true,true,false]","1","2","true","[0.7186693442168389,0.6871497714875933,0.6860474895700333,0.5975136136513183]","true","true","dawsTwoStep","8","33188","0.0-8.0"
"[1,0]","[1,0]","[1,0]","[true,false,false,true]","0","1","false","[0.7338752313797084,0.686190259375527,0.673428357222676,0.572370884493256]","true","false","dawsTwoStep","9","35850","0.0-9.0"
"[0,1]","[1,0]","[2,3]","[true,false,true,true]","1","2","true","[0.6892443597362613,0.6827978490852381,0.6845711075845838,0.5712722845580156]","true","true","dawsTwoStep","10","38983","0.0-10.0"
"[1,0]","[3,2]","[2,3]","[true,true,true,false]","1","2","true","[0.6662882143298753,0.6556107852521439,0.67604470572073,0.553610709812198]","false","true","dawsTwoStep","11","41937","0.0-11.0"
"[1,0]","[1,0]","[3,2]","[false,true,true,false]","1","2","true","[0.6532282509203257,0.6542086582285676,0.6638717004444272,0.5731000342096895]","true","true","dawsTwoStep","12","45141","0.0-12.0"
"[1,0]","[0,1]","[0,1]","[true,true,true,false]","1","1","true","[0.6844558668201403,0.6801352490819541,0.6536766219044906,0.5910461032505963]","true","false","dawsTwoStep","13","49739","0.0-13.0"
"[1,0]","[2,3]","[2,3]","[true,true,false,false]","0","2","false","[0.6416912167448384,0.6743907807166045,0.6259669847805793,0.5994498105463888]","false","true","dawsTwoStep","14","53633","0.0-14.0"
"[1,0]","[1,0]","[2,3]","[true,false,false,true]","1","2","false","[0.6371530059647896,0.6464006814191448,0.630948772055542,0.5851672496376693]","true","true","dawsTwoStep","15","56385","0.0-15.0"
"[1,0]","[1,0]","[1,0]","[false,true,true,true]","0","1","true","[0.6656836270086923,0.6606384853398128,0.6944177418417639,0.5322812728912985]","true","false","dawsTwoStep","16","59279","0.0-16.0"
"[0,1]","[3,2]","[1,0]","[true,false,false,true]","0","3","true","[0.6088030303137971,0.6557878435359205,0.7045611756083445,0.5452746802417701]","false","false","dawsTwoStep","17","64019","0.0-17.0"
"[1,0]","[3,2]","[2,3]","[true,true,true,false]","0","3","false","[0.6060757935711609,0.6729382924693432,0.6850498113999595,0.5180225817820142]","false","true","dawsTwoStep","18","66960","0.0-18.0"
"[0,1]","[1,0]","[1,0]","[false,false,true,true]","1","0","false","[0.6190707160496896,0.6930499303506402,0.6977428559759145,0.5068082979483616]","true","false","dawsTwoStep","19","71056","0.0-19.0"
"[0,1]","[2,3]","[3,2]","[true,true,true,false]","0","3","false","[0.6318811095881194,0.7210687122777312,0.6976977304481715,0.4977061846278925]","false","true","dawsTwoStep","20","74615","0.0-20.0"
"[0,1]","[2,3]","[3,2]","[false,false,true,true]","1","3","true","[0.6630830443772998,0.7146063209225776,0.6839984458134881,0.5008024934950056]","false","true","dawsTwoStep","21","77123","0.0-21.0"
"[1,0]","[0,1]","[1,0]","[false,true,true,false]","1","0","false","[0.6564764781225888,0.6925400650192646,0.7168153593344295,0.4947955869327689]","true","false","dawsTwoStep","22","80930","0.0-22.0"
"[0,1]","[0,1]","[1,0]","[false,true,true,false]","1","0","false","[0.6010260364744536,0.7009742658354696,0.75,0.43047624668755463]","true","false","dawsTwoStep","23","84145","0.0-23.0"
"[0,1]","[0,1]","[2,3]","[false,true,true,true]","0","0","false","[0.5810722709708986,0.7400006701196971,0.75,0.441639632820914]","true","true","dawsTwoStep","24","86780","0.0-24.0"
"[0,1]","[1,0]","[3,2]","[true,true,true,false]","0","1","true","[0.5854045915740635,0.7130204831821907,0.7108937966602478,0.40656666338112785]","true","true","dawsTwoStep","25","90155","0.0-25.0"
"[1,0]","[0,1]","[3,2]","[false,true,false,true]","0","1","true","[0.5952942414045845,0.717521362451029,0.7230812844611217,0.42765002257021006]","true","true","dawsTwoStep","26","93172","0.0-26.0"
"[0,1]","[3,2]","[3,2]","[true,true,true,false]","0","2","true","[0.6064729630431538,0.7014744291742321,0.7249089660720727,0.43561223154172746]","false","true","dawsTwoStep","27","96664","0.0-27.0"
"[1,0]","[0,1]","[0,1]","[false,false,false,false]","0","1","false","[0.5977714578899122,0.7374258963363624,0.6827944951518965,0.4500119669781493]","true","false","dawsTwoStep","28","99721","0.0-28.0"
"[1,0]","[2,3]","[3,2]","[true,false,false,false]","1","2","false","[0.6182987828833583,0.7062538649494081,0.678318127761806,0.4132295108587676]","false","true","dawsTwoStep","29","102085","0.0-29.0"
"[1,0]","[2,3]","[2,3]","[false,true,true,false]","1","3","false","[0.6492642250452219,0.7217700614926005,0.6321127715923474,0.39847597868478274]","false","true","dawsTwoStep","30","105124","0.0-30.0"
"[1,0]","[1,0]","[3,2]","[true,true,true,true]","0","0","true","[0.6773133378592026,0.691344078784046,0.5718746272232949,0.38050634210831247]","true","true","dawsTwoStep","31","107574","0.0-31.0"
"[0,1]","[1,0]","[2,3]","[true,true,false,true]","0","0","true","[0.6660296604619105,0.7003834187256772,0.5945183780245262,0.376397460297424]","true","true","dawsTwoStep","32","110576","0.0-32.0"
"[1,0]","[0,1]","[2,3]","[true,true,true,false]","0","0","true","[0.6485231314185831,0.7175075488919315,0.5797110880567595,0.3822178364550631]","true","true","dawsTwoStep","33","113983","0.0-33.0"
"[0,1]","[1,0]","[2,3]","[false,true,true,false]","0","0","false","[0.5972915324926604,0.6819804970957488,0.5828113786295531,0.3494215937862439]","true","true","dawsTwoStep","34","116798","0.0-34.0"
"[1,0]","[1,0]","[2,3]","[false,false,true,false]","0","0","false","[0.5659021114201546,0.6635619946909761,0.5800404078437954,0.29465794820171576]","true","true","dawsTwoStep","35","120955","0.0-35.0"
"[0,1]","[0,1]","[1,0]","[false,false,false,true]","0","1","false","[0.5746639928308899,0.6859604790890655,0.5426364820867724,0.30291211256981565]","true","false","dawsTwoStep","36","124979","0.0-36.0"
"[0,1]","[0,1]","[2,3]","[false,false,false,false]","1","2","false","[0.5946235302805349,0.7090425685965528,0.5205026781848351,0.30420769082741295]","true","true","dawsTwoStep","37","127362","0.0-37.0"
"[0,1]","[2,3]","[2,3]","[false,false,false,false]","1","3","false","[0.5984992217384334,0.68933565090212,0.5323074797294544,0.3030561445127787]","false","true","dawsTwoStep","38","129911","0.0-38.0"
"[1,0]","[1,0]","[0,1]","[false,false,false,false]","1","1","false","[0.575757109814501,0.7299192937353016,0.5459889001115901,0.2934932585256776]","true","false","dawsTwoStep","39","132898","0.0-39.0"
"[0,1]","[1,0]","[2,3]","[false,false,false,false]","1","2","false","[0.5684632632919879,0.6922617537158519,0.5079662335322435,0.2741318874537435]","true","true","dawsTwoStep","40","135182","0.0-40.0"
"[0,1]","[3,2]","[2,3]","[true,true,false,false]","0","3","false","[0.5549678068523951,0.6729005872053622,0.5185930164587437,0.2785159983480761]","false","true","dawsTwoStep","41","138196","0.0-41.0"
"[0,1]","[1,0]","[3,2]","[false,true,true,false]","0","1","true","[0.5513263799711802,0.694147596260667,0.5464597058121006,0.25]","true","true","dawsTwoStep","42","140965","0.0-42.0"
"[0,1]","[3,2]","[3,2]","[true,false,false,true]","0","3","true","[0.5484241658323503,0.7324148469689444,0.49712130224310613,0.25]","false","true","dawsTwoStep","43","144009","0.0-43.0"
"[1,0]","[2,3]","[2,3]","[true,false,false,true]","0","2","false","[0.5290446422736416,0.7316634647824649,0.4564422720235587,0.25]","false","true","dawsTwoStep","44","147845","0.0-44.0"
"[1,0]","[1,0]","[3,2]","[true,true,true,true]","1","2","true","[0.5452842511673756,0.7278293919889803,0.4289228952145736,0.25]","true","true","dawsTwoStep","45","150618","0.0-45.0"
"[1,0]","[0,1]","[2,3]","[true,true,false,true]","1","2","false","[0.5349533416305902,0.75,0.39658255625355054,0.26594242101718946]","true","true","dawsTwoStep","46","153149","0.0-46.0"
"[1,0]","[1,0]","[0,1]","[false,true,false,true]","0","1","true","[0.5258684669906745,0.75,0.3981355177274178,0.25]","true","false","dawsTwoStep","47","156285","0.0-47.0"
"[0,1]","[1,0]","[3,2]","[true,true,false,true]","0","1","true","[0.5196999500088806,0.7117467680922007,0.4044803498776303,0.25]","true","true","dawsTwoStep","48","159213","0.0-48.0"
"[1,0]","[3,2]","[3,2]","[true,true,true,false]","0","2","true","[0.517107559357417,0.7008403540536959,0.4182365670648297,0.2659675862589359]","false","true","dawsTwoStep","49","164050","0.0-49.0"
"[0,1]","[0,1]","[3,2]","[false,false,true,false]","0","1","false","[0.5245490111481792,0.7270243922468385,0.39707066432852356,0.28158258440167994]","true","true","dawsTwoStep","50","167390","0.0-50.0"
"[1,0]","[0,1]","[0,1]","[true,true,false,true]","1","1","true","[0.582280824400959,0.7270492839908259,0.426337764767499,0.27492452840602133]","true","false","dawsTwoStep","51","171404","0.0-51.0"
"[0,1]","[1,0]","[2,3]","[true,true,false,false]","1","3","false","[0.5869990490954679,0.7298440596176651,0.4853216835564248,0.28458354996331253]","true","true","dawsTwoStep","52","174851","0.0-52.0"
"[1,0]","[0,1]","[1,0]","[true,false,false,true]","1","1","false","[0.57802705006032,0.69106969441291,0.5067280585028443,0.2980617109898602]","true","false","dawsTwoStep","53","177907","0.0-53.0"
"[0,1]","[3,2]","[3,2]","[true,true,false,true]","1","2","false","[0.6322065601243559,0.6769026726826698,0.5108541264323545,0.32553233527166237]","false","true","dawsTwoStep","54","181663","0.0-54.0"
"[1,0]","[0,1]","[2,3]","[false,true,true,false]","1","3","false","[0.5973059329298035,0.6220314747229627,0.4792411909199251,0.32768447570790615]","true","true","dawsTwoStep","55","184776","0.0-55.0"
"[1,0]","[0,1]","[2,3]","[true,false,true,false]","0","1","false","[0.5587398757822168,0.6213208174822564,0.4676390833581831,0.36606285870022115]","true","true","dawsTwoStep","56","188027","0.0-56.0"
