"stepOne_Param","stepOneTwo_Param","stepTwoTwo_Param","rewards_Param","stepOneChoice","stepTwoChoice","reward","rewardProbabilities","isHighProbOne","isHighProbTwo","trial_type","trial_index","time_elapsed","internal_node_id"
"[0,1]","[0,1]","[0,1]","[true,false,false,false]","0","0","true","[0.5610553852270765,0.5737760517542996,0.46891145219914593,0.5718210129821595]","true","false","dawsTwoStep","0","4069","0.0-0.0"
"[1,0]","[0,1]","[0,1]","[true,false,false,false]","1","1","false","[0.5574559617676044,0.5656841231894524,0.43508727803964337,0.6097802675021424]","true","false","dawsTwoStep","1","7020","0.0-1.0"
"[0,1]","[1,0]","[3,2]","[true,false,false,true]","0","1","false","[0.5395562268183954,0.5088375541395267,0.4317378537718094,0.6265754835387332]","true","true","dawsTwoStep","2","9299","0.0-2.0"
"[0,1]","[0,1]","[3,2]","[false,false,false,true]","0","0","false","[0.4878524400255491,0.4972952515177121,0.4571998944571721,0.656964634030475]","true","true","dawsTwoStep","3","12034","0.0-3.0"
"[0,1]","[2,3]","[3,2]","[true,false,false,true]","0","3","true","[0.5029373131783242,0.4995536343427276,0.4531940153993308,0.6616736308600533]","false","true","dawsTwoStep","4","14765","0.0-4.0"
"[1,0]","[3,2]","[1,0]","[false,false,true,true]","1","0","false","[0.5048250436769279,0.5242484218950934,0.44683363232509316,0.6735862011271396]","false","false","dawsTwoStep","5","17398","0.0-5.0"
"[1,0]","[2,3]","[2,3]","[false,true,false,true]","0","2","false","[0.521657308819558,0.5726954184704578,0.44253771064751546,0.6368642423743751]","false","true","dawsTwoStep","6","20249","0.0-6.0"
"[1,0]","[1,0]","[0,1]","[false,false,false,false]","1","1","false","[0.5271853129867246,0.5896510114742577,0.44000023741792815,0.6403921998317195]","true","false","dawsTwoStep","7","22987","0.0-7.0"
"[0,1]","[3,2]","[3,2]","[true,true,true,true]","0","3","true","[0.566717287052561,0.5870694469170875,0.4858366794602106,0.6435193105666746]","false","true","dawsTwoStep","8","25172","0.0-8.0"
"[1,0]","[3,2]","[3,2]","[true,true,true,true]","1","2","true","[0.5819609009018708,0.5548616895900161,0.550289973255139,0.6676193800723411]","false","true","dawsTwoStep","9","28397","0.0-9.0"
"[1,0]","[0,1]","[2,3]","[false,true,false,true]","1","2","false","[0.5681607146019627,0.5551107022111538,0.553811857982757,0.6658406034119555]","true","true","dawsTwoStep","10","30890","0.0-10.0"
"[0,1]","[1,0]","[3,2]","[false,false,false,true]","0","1","false","[0.5843538396075211,0.5257469060000396,0.5551468724138221,0.679180110280037]","true","true","dawsTwoStep","11","33715","0.0-11.0"
"[1,0]","[0,1]","[1,0]","[true,false,false,false]","1","0","true","[0.5712634290290594,0.5468957227122605,0.497161971312817,0.6709302495244721]","true","false","dawsTwoStep","12","36493","0.0-12.0"
"[0,1]","[1,0]","[3,2]","[false,false,true,false]","1","2","true","[0.5604940649035264,0.5317413011990219,0.47808833320083555,0.6816063647251436]","true","true","dawsTwoStep","13","39024","0.0-13.0"
"[1,0]","[3,2]","[2,3]","[false,false,true,true]","0","3","true","[0.56880015678244,0.555952528188027,0.48521200001228465,0.75]","false","true","dawsTwoStep","14","42395","0.0-14.0"
"[1,0]","[3,2]","[3,2]","[true,true,true,true]","0","3","true","[0.5689185368006512,0.5419779639770598,0.5239852270981844,0.75]","false","true","dawsTwoStep","15","45514","0.0-15.0"
"[1,0]","[2,3]","[3,2]","[false,true,true,false]","0","3","false","[0.5843425561303038,0.531214182443196,0.5170223306482692,0.7460649107094506]","false","true","dawsTwoStep","16","48562","0.0-16.0"
"[1,0]","[0,1]","[2,3]","[false,false,true,true]","0","0","false","[0.5893933809074329,0.5008259711338543,0.5747999975221426,0.75]","true","true","dawsTwoStep","17","51976","0.0-17.0"
"[1,0]","[3,2]","[2,3]","[false,true,true,false]","0","2","true","[0.5803357566065704,0.512977398167303,0.5814520816890446,0.7116484418394224]","false","true","dawsTwoStep","18","54663","0.0-18.0"
"[1,0]","[1,0]","[2,3]","[false,true,true,false]","0","1","true","[0.5729389609764141,0.5143172670574324,0.618893709857102,0.7455758716759333]","true","true","dawsTwoStep","19","57189","0.0-19.0"
"[0,1]","[0,1]","[3,2]","[true,false,false,true]","1","2","false","[0.5506849313906462,0.5050959965705714,0.6210752725315372,0.7464385644223573]","true","true","dawsTwoStep","20","59717","0.0-20.0"
"[0,1]","[1,0]","[1,0]","[true,true,true,false]","1","1","true","[0.53093741350364,0.5393927711068387,0.585690639616142,0.748210790719286]","true","false","dawsTwoStep","21","62322","0.0-21.0"
"[1,0]","[2,3]","[3,2]","[false,false,true,false]","1","2","true","[0.5212754653597687,0.5318197262165165,0.5733417357251313,0.7267201552187221]","false","true","dawsTwoStep","22","65744","0.0-22.0"
"[1,0]","[0,1]","[1,0]","[false,false,false,true]","1","1","false","[0.5209317239516597,0.5526035100593422,0.558800113791787,0.7314655703386291]","true","false","dawsTwoStep","23","68267","0.0-23.0"
"[1,0]","[2,3]","[0,1]","[false,true,true,false]","1","1","true","[0.5114917924685479,0.553566585753798,0.577677052363307,0.6990601612380175]","false","false","dawsTwoStep","24","70504","0.0-24.0"
